,What is your gender?,What is your current level of education?,With whom did you spend your lockdown days?,"Do you think the pandemic and the subsequent lockdown has altered your outlook on life? If yes, whether negatively or positively?",Has the lockdown had an impact on your physical health?,Rate your lockdown experiences on a scale of 1-5  based on the following feelings. ,How often did you do something productive?,Did you do anything for academic improvement?,How did you spend most of your time during the lockdown,Did you do anything for fun and recreation? ,"The average number of hours you spent on social media, in a day? ",How have your eating habits changed?,How has your body weight changed through the lockdown?,Did you experience a loss of appetite?,How often did you exercise?,What made up most of your diet?,To what do you most attribute your eating behavior?,Choose the word that best describes your lockdown experience.,How did you feel in regards to your studies or career?,How do/ did you feel most of the time?,Did you experience a tragic loss of something important?,How often did you indulge in the things you liked to do before?,How would you describe your sleep cycle?,Describe your relationship with your family and friends.,Have ever suffered from a mental illness? if yes what course of action was taken? if not choose NA 1,Have ever suffered from a mental illness? if yes  what course of action was taken? if not choose NA 2,"Please write a very short summary of your lockdown experience in terms of your physical, mental, and emotional health.",Editor's note: We hope you liked our questionnaire; Let us know how much.,,Output Level (1-5),Remarks (section wise rating: I+ II+ III+ IV+ V),
,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25a,Q25b,,,,,,
07/05/2020 21:01,Male,Under graduate,At home with family,No effect,Yes,3,Rarely,No,"Gaming, Netflix or Other OTT",Sometimes,3-4 hours,I overeat,I've gained weight,Not much,Somedays,Regular home cooked food,Hunger,Humbling,Didn't think about it,Satisfied,Yes,Sometimes,Disturbed,Fun and expressive,NA,NA,,,,2.99=3,0.24+ 0.34+0.86+ 0.83+0.72,
07/05/2020 21:04,Female,Under graduate,At home with family,"Yes, i'm more pessimistic now",No,4,Rarely,No,"Household chores, Sleeping","Yes, I pursued my hobbies",3-4 hours,I overeat,I've gained weight,Not much,Never,Regular home cooked food,Boredom,Numb,Didn't think about it,Moody,No,Rarely,Oversleeping,Comforting and warm,NA,NA,,,,3.3=3,0.33+0.62+0.58+0.88+0.88,
07/05/2020 21:09,Male,Under graduate,At home with family,"Yes, i'm more pessimistic now",Yes,5,Rarely,No,"Gaming, Netflix or Other OTT",Sometimes,Almost 6 hours,I under eat,I've lost weight,Significantly,Never,Fried/ junk food,Emotional distress,Numb,Directionless,Agitated/ Irritable,No,Rarely,Lack of sleep,Formal and unyielding,No,No,,,,3.96=4,0.22+0.62++0.84+1.01+1.27,
07/05/2020 21:38,Female,Under graduate,Alone,"Yes, i'm more pessimistic now",Yes,5,Never,No,"Household chores, Netflix or Other OTT, Sleeping",No,3-4 hours,I under eat,I've lost weight,Not much,Somedays,Regular home cooked food,Emotional distress,Numb,Anxious,"Agitated/ Irritable, Sad",Yes,Never,Lack of sleep,Toxic and Argumentative,No,No,,,,4.04=4,0.44+0.62+0.84+0.76+1.38,
07/07/2020 21:47,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",Maybe,5,Quite often,Yes,"Studying /being academically inclined, Household chores, Netflix or Other OTT","Yes, I pursued my hobbies",1-2 hours,I eat in regulation,I've gained weight,Not at all,Never,Regular home cooked food,Hunger,Chaotic,Directionless,"Happy, Agitated/ Irritable, Moody",No,Never,Oversleeping,Fun and expressive,NA,NA,"Mainly because I had my special support with me, I was able to carry life through hard times of economic , financial and environmental fluctuations. My mind will truly remember such a random isolation",,,1.9=2,0.3+0.2+0.1+0.5+0.7,
07/08/2020 6:27,Female,Postgraduate,At home with family,"Yes, i'm more optimistic now",Yes,4,Often,I,Studying /being academically inclined,"Yes, I pursued my hobbies",3-4 hours,I eat in regulation,I've lost weight,Not much,Regularly,Regular home cooked food,Hunger,Humbling,Excited,"Happy, Satisfied",No,Often,Normal,Comforting and warm,NA,NA,It helped me to give time for myself.,,,1.0=1,0.2+0.3+0.2+0.1+0.2,
07/08/2020 17:51,Male,Under graduate,At home with family,"Yes, i'm more optimistic now",Maybe,3,Sometimes,I,"Studying /being academically inclined, Gaming, Netflix or Other OTT","Yes, I pursued my hobbies",3-4 hours,I eat in regulation,I've gained weight,Not much,Regularly,Regular home cooked food,Boredom,Pleasant,Motivated,Moody,No,Sometimes,Normal,Fun and expressive,NA,NA,Quite good and I'm focusing on my career now,,,1.6=2,0.2+0.2+0.3+0.5+0.4,
07/08/2020 18:14,Male,Under graduate,At home with family,"Yes, i'm more pessimistic now",Yes,3,Sometimes,I,"Gaming, Household chores, Netflix or Other OTT",No,1-2 hours,I eat in regulation,I've gained weight,Somewhat,Somedays,Regular home cooked food,Hunger,Numb,Directionless,Moody,Yes,Often,Oversleeping,Comforting and warm,NA,NA,Lockdown has hit everyone hard in one way or another and i think ive lost my road to my goals a little bit and im a little bit confused on what to do and what not in future !!,,,2.6=3,0.2+0.5+0.5+0.4+1.0,
07/08/2020 18:19,Male,Class 10-12,At home with family,"Yes, i'm more optimistic now",Yes,3,Sometimes,I,Studying /being academically inclined,"Yes, I pursued my hobbies",3-4 hours,I eat in regulation,Unchanged,Somewhat,Somedays,Regular home cooked food,Boredom,Pleasant,Anxious,Agitated/ Irritable,No,Sometimes,Normal,Fun and expressive,NA,NA,I have become somewhat fit as my endurance has improved but emotionally i am stressed as my exams have been postponed,,,1.4=1,0.3+0.2+0.25+0.25+0.4,
